Temperature,Humidity,Pressure,WindSpeed,CloudCover,RainToday,RainTomorrow
24,76,1023,16,71,0,0
24,99,1005,25,99,0,1
20,46,1015,3,87,1,1
23,26,1022,22,32,0,0
39,73,1021,43,91,1,1
32,86,1024,4,50,0,0
26,63,1012,5,88,1,1
35,33,1020,3,83,0,0
24,68,1023,9,46,0,0
34,60,1012,41,3,0,0
23,78,1004,5,53,0,1
35,68,996,11,61,1,1
33,39,1002,15,86,0,1
25,77,1018,27,88,0,1
30,65,1023,16,44,0,0
24,33,1018,2,7,0,0
28,32,997,36,32,0,1
27,65,1022,8,72,0,0
19,57,1010,24,61,0,1
20,68,1002,23,90,0,1
20,71,1008,4,0,1,0
40,38,1001,28,8,1,1
27,75,1001,33,3,1,1
40,39,1005,30,35,1,1
24,83,1013,23,27,1,1
30,86,1019,7,27,1,0
29,54,1024,12,91,0,0
18,25,1019,28,61,0,0
30,27,1001,7,71,0,0
22,75,1004,25,78,0,1
41,76,1011,13,38,0,0
34,80,1011,3,1,0,0
40,25,1013,3,52,0,0
23,56,1017,5,54,1,0
34,62,1018,6,97,0,0
28,40,995,10,58,0,1
20,44,1022,37,18,1,0
36,44,1001,42,32,0,1
24,25,1005,29,56,0,0
40,55,1024,43,98,0,1
33,84,1011,3,0,0,0
29,93,999,33,8,0,1
36,72,1010,4,19,1,1
41,57,1018,12,71,1,1
25,49,1023,19,81,0,0
20,85,1003,37,32,0,1
31,45,1010,21,7,1,0
34,57,1010,13,58,0,0
40,46,1008,31,37,1,1
36,78,1002,28,26,1,1
18,52,1009,34,68,0,1
33,43,998,36,63,0,1
34,68,1022,31,92,0,1
23,61,1018,30,45,1,1
20,84,995,22,31,1,1
20,42,1019,43,94,1,1
20,70,1018,33,46,1,1
19,51,1004,3,89,1,1
18,33,1005,40,92,0,1
20,74,1019,25,12,0,0
24,81,998,21,64,0,1
31,40,1008,13,86,0,1
19,90,1017,23,50,0,0
39,82,1020,23,48,0,0
23,39,1016,44,59,0,0
25,77,1022,6,67,1,1
37,71,997,41,51,0,1
35,54,1013,18,62,0,0
40,86,1017,10,11,0,0
18,58,1024,26,0,1,0
24,88,999,23,92,0,1
29,50,1010,38,85,0,1
31,93,1009,31,61,1,1
29,40,1020,27,47,1,0
21,57,1024,31,22,0,0
39,93,998,35,51,0,1
36,82,995,6,3,0,1
33,26,1011,29,31,1,1
41,36,1012,36,32,0,0
36,67,999,13,66,1,1
25,98,1005,30,12,0,1
31,26,1023,36,86,0,0
25,50,1004,27,33,0,0
24,92,1020,12,28,0,0
38,60,1004,38,72,0,1
20,73,997,37,81,0,1
41,47,1024,33,36,0,0
40,37,1017,26,98,0,0
34,86,1014,26,85,0,1
36,73,998,13,60,1,1
29,33,1001,29,77,0,1
37,40,1015,6,98,0,0
37,77,1017,17,56,0,0
38,66,1020,40,13,0,0
22,59,1017,30,74,0,0
29,33,1004,18,6,0,0
25,66,1003,28,65,0,1
22,62,1013,9,64,1,1
34,95,1019,5,35,0,0
36,85,1006,40,90,0,1
36,63,1024,4,44,0,0
37,96,1023,42,38,1,1
30,86,1019,26,55,0,0
38,30,1020,33,44,0,0
38,99,1022,38,35,0,0
37,81,1012,42,48,0,1
18,78,1016,4,15,1,0
28,36,1004,33,15,1,1
29,48,1022,9,91,0,0
25,82,1022,29,91,0,1
21,88,1021,18,72,0,0
37,53,1007,36,5,1,1
22,71,1019,3,9,1,0
35,29,1017,34,64,0,0
32,73,1005,22,25,0,1
39,83,1021,14,32,0,0
20,25,1015,7,91,1,1
22,27,1015,24,52,1,0
27,41,1015,15,72,0,0
36,69,1007,5,61,1,1
25,56,996,29,94,0,1
19,78,1016,4,49,1,1
39,29,1024,31,56,0,0
32,47,1009,38,84,0,1
28,75,1001,39,63,0,1
23,74,996,19,29,0,1
36,87,996,39,96,1,1
40,75,1011,6,28,0,0
41,41,1004,18,83,0,1
19,30,1015,3,76,0,0
28,99,1013,24,54,0,1
28,40,1002,5,3,0,0
20,91,1021,30,31,0,0
36,43,1015,6,81,0,0
39,45,1000,2,4,0,0
31,58,1011,15,89,0,1
26,50,1019,23,55,1,1
33,85,1011,27,35,1,1
34,76,1009,23,13,0,0
40,26,1007,27,13,0,0
36,31,997,24,17,0,0
20,39,1019,38,27,0,0
34,68,1019,18,12,0,0
21,34,997,42,17,0,1
32,58,1009,9,39,0,0
36,66,1003,38,5,1,1
19,83,1018,7,32,0,0
38,94,1000,5,93,0,1
41,79,1003,4,30,0,0
21,48,1000,3,83,1,1
21,30,1016,31,50,1,1
19,99,1002,27,50,1,1
22,94,1020,5,18,0,0
37,36,1009,2,89,1,1
23,61,1024,12,99,0,0
20,57,1000,11,4,0,0
29,26,1007,41,1,0,0
22,97,1011,10,74,0,1
23,59,1024,32,48,1,0
29,74,1008,12,8,0,0
20,59,995,41,63,0,1
25,35,1003,38,13,1,1
20,61,999,20,77,0,1
21,66,1019,19,39,0,0
25,38,1013,39,96,1,1
32,49,1011,34,65,0,1
25,75,1001,7,5,0,0
36,96,1004,16,28,0,1
24,51,998,30,37,1,1
22,51,1017,34,67,0,0
27,29,1021,11,96,0,0
30,55,1009,37,87,0,1
32,53,1002,6,28,0,0
29,69,996,28,94,0,1
21,60,1020,44,26,0,0
28,98,1002,39,5,0,1
32,70,1005,13,89,0,1
35,84,1005,13,99,1,1
22,61,1002,43,91,0,1
26,75,1023,15,39,1,0
28,47,995,38,20,0,1
21,78,1017,2,62,0,0
36,64,1009,22,46,0,0
26,98,1014,27,40,0,1
37,49,1020,12,37,0,0
35,58,1021,18,42,0,0
36,78,1018,26,70,0,1
38,57,1011,30,62,0,1
35,73,1001,18,83,0,1
37,87,1023,41,48,0,0
30,75,1021,20,61,0,0
34,69,1023,31,15,0,0
35,25,1008,3,91,0,0
23,75,998,2,7,1,1
24,27,1004,11,82,0,1
18,79,1022,33,49,1,1
25,89,1019,4,87,0,0
25,78,1019,38,66,1,1
32,32,996,36,95,1,1
41,70,1005,17,67,1,1
39,38,1017,19,6,0,0
18,47,1015,20,18,0,0
35,26,995,6,19,0,0
19,91,1017,13,19,0,0
23,33,996,36,85,1,1
34,98,1024,24,95,0,1
36,38,1003,41,65,0,1
24,97,1016,23,3,0,0
30,61,1005,7,17,0,0
27,65,1000,35,16,0,1
23,51,1019,32,5,1,0
19,36,1007,8,9,1,0
38,86,1020,3,53,1,1
36,77,998,27,28,0,1
25,35,998,40,98,1,1
40,48,1016,23,68,0,0
21,44,1013,36,80,0,1
30,97,1020,3,72,0,0
34,25,1019,44,41,0,0
20,27,1012,38,43,1,1
23,36,1013,38,43,1,1
34,85,1011,11,56,0,1
32,36,1024,17,87,1,0
38,94,1002,26,81,0,1
32,83,1020,42,25,0,0
27,40,1001,18,22,0,0
39,31,1008,16,6,0,0
33,96,1012,24,92,0,1
37,63,997,19,58,1,1
34,38,1018,36,59,0,0
20,61,1005,41,89,1,1
29,63,1009,5,92,0,1
30,57,1010,43,65,0,1
27,58,1024,14,12,0,0
20,63,1008,30,61,0,1
38,81,1010,11,29,0,0
24,29,995,31,48,0,1
31,54,1012,5,17,0,0
33,89,1015,16,72,0,1
41,92,1006,38,60,0,1
23,63,1018,25,10,1,0
19,49,1001,5,58,0,1
39,98,1005,35,56,0,1
34,27,1018,7,4,0,0
32,73,1003,36,19,1,1
27,59,1012,19,61,1,1
20,56,997,39,12,0,1
32,97,998,15,97,0,1
41,91,1021,29,28,1,1
19,66,1003,16,39,1,1
28,83,996,25,78,0,1
22,72,1020,19,69,1,1
33,52,999,14,80,0,1
30,86,1023,4,55,0,0
25,57,1000,25,18,1,1
18,83,1021,42,12,1,1
38,66,998,28,37,0,1
22,69,1020,32,22,0,0
28,77,1024,40,30,0,0
19,36,1001,3,95,0,1
34,41,1002,32,97,0,1
41,59,1010,7,82,1,1
27,87,1022,16,93,1,1
39,92,1014,33,99,0,1
34,36,1016,18,9,0,0
39,74,1008,30,75,1,1
20,76,1023,13,6,0,0
18,30,1009,16,31,1,0
40,50,996,35,28,1,1
20,37,1003,40,14,1,1
28,56,996,15,83,0,1
20,80,1022,30,20,1,0
22,83,1014,7,18,0,0
20,25,1020,39,14,1,0
20,88,1011,26,23,0,0
32,51,1002,26,16,0,0
25,51,1008,8,2,1,0
29,77,1018,4,19,1,0
31,95,1011,21,99,0,1
33,84,1016,3,87,0,0
30,96,1015,19,93,0,1
31,62,1005,26,32,1,1
26,32,1005,23,50,0,0
34,70,1009,17,53,0,1
37,57,1004,41,31,1,1
18,26,995,34,76,0,1
30,50,1016,40,65,1,1
31,39,996,43,43,0,1
28,85,997,7,8,1,1
24,56,1003,13,7,1,1
37,86,1009,8,74,1,1
21,30,1020,23,25,0,0
26,84,1004,15,74,1,1
29,36,1007,26,44,0,0
36,79,1008,37,44,0,1
40,77,1017,33,50,0,0
23,42,1013,23,36,1,1
26,83,997,29,73,0,1
39,87,1009,34,6,0,0
38,55,1020,25,19,0,0
29,44,1022,25,49,1,0
26,60,1020,35,99,1,1
19,60,1000,40,41,1,1
39,36,997,19,39,1,1
18,50,1002,37,93,0,1
29,38,1008,3,36,1,0
30,65,1024,15,88,0,0
24,94,1011,26,27,0,1
22,29,995,41,75,0,1
30,47,1009,32,10,1,1
39,38,1010,11,92,0,0
26,25,999,21,7,0,0
18,81,1016,21,27,0,0
22,71,999,13,36,1,1
41,68,1018,29,78,0,1
37,26,1003,38,19,0,0
18,59,1000,38,58,0,1
34,75,1008,13,19,1,1
41,67,1024,35,88,0,0
24,80,1009,44,49,0,1
23,47,1024,17,49,0,0
40,32,1012,22,0,1,0
23,29,1009,23,46,0,0
40,67,1004,31,81,0,1
25,71,1002,13,90,1,1
31,92,995,2,18,1,1
31,77,1010,6,89,0,1
19,88,1000,10,32,0,1
33,37,1003,14,30,1,1
21,28,1000,20,69,1,1
30,47,1013,12,0,0,0
39,95,1019,22,14,0,0
24,39,1015,20,59,0,0
18,73,1011,36,43,0,1
28,96,1008,15,73,1,1
26,27,1015,27,71,0,0
23,52,1015,30,25,0,0
22,72,999,16,43,0,1
28,72,1017,7,45,1,1
28,45,1017,44,79,0,1
32,49,998,12,50,0,1
38,37,1016,20,33,0,0
21,76,1008,28,28,1,1
20,32,1010,43,35,1,1
19,73,1007,5,89,0,1
28,31,1006,11,38,0,0
24,87,1018,43,60,0,1
21,92,1016,8,53,0,0
41,69,1004,14,21,1,1
39,33,1020,10,14,0,0
27,96,1018,17,48,0,0
22,92,1012,25,18,1,1
24,98,1019,19,18,0,0
18,79,1012,6,46,0,0
29,57,1017,22,80,0,0
22,39,997,29,70,0,1
27,97,1008,14,56,0,1
19,88,997,8,84,0,1
27,63,1003,12,23,0,0
36,92,1020,39,41,1,1
30,60,1002,38,96,0,1
26,32,995,7,40,0,0
30,73,1022,3,59,1,0
38,32,1000,9,49,0,0
29,82,997,23,69,0,1
29,26,1000,18,34,1,1
37,32,1016,37,68,0,0
32,79,1010,43,61,0,1
40,40,1006,18,15,0,0
37,27,1010,31,22,0,0
25,29,1014,41,64,1,1
38,94,1016,19,71,1,1
18,40,1006,39,97,0,1
21,47,1012,3,84,0,0
26,89,1005,4,51,0,1
21,79,1000,36,21,0,1
39,84,999,43,11,1,1
27,62,1012,36,29,1,1
31,30,997,17,6,0,0
26,39,1015,36,65,0,0
